Meet name,Date
"USATF Mid American Record set at event in Aurora, CO",1/1/79
1981 Rocky Mountain Masters Games,1/1/81
1982 Rocky Mountain Masters Games,1/1/82
1983 Rocky Mountain Masters Games,1/1/83
1984 Rocky Mountain Masters Games,1/1/84
1985 Rocky Mountain Masters Games,1/1/85
1986 Rocky Mountain Masters Games,1/1/86
1987 Rocky Mountain Masters Games,1/1/87
1988 Rocky Mountain Masters Games,1/1/88
1989 Rocky Mountain Masters Games,1/1/89
1990 Rocky Mountain Masters Games,1/1/90
1991 Rocky Mountain Masters Games,1/1/91
1992 Rocky Mountain Masters Games,1/1/92
Colorado Senior Games,1/1/93
1993 Rocky Mountain Masters Games,1/1/93
1994 Rocky Mountain Masters Games,1/1/94
Colorado Senior Games,1/1/94
1995 Rocky Mountain Masters Games,1/1/95
"USATF Mid American Record set at event in Colorado Springs, CO",1/1/95
Colorado Senior Games,1/1/95
1996 Rocky Mountain Masters Games,1/1/96
Colorado Senior Games,1/1/96
"USATF Mid American Record set at event in Colorado Springs, CO",1/1/96
1997 Rocky Mountain Masters Games,1/1/97
Colorado Senior Games,1/1/97
Colorado Senior Games,1/1/98
1999 Rocky Mountain Masters Games,1/1/99
Colorado Senior Games,1/1/99
Colorado Senior Games,1/1/00
2000 Rocky Mountain Masters Games,1/1/00
2001 Rocky Mountain Masters Games,1/1/01
Colorado Senior Games,1/1/02
2002 Rocky Mountain Masters Games,1/1/02
2003 Rocky Mountain Masters Games,1/1/03
Colorado Senior Games,1/1/03
2004 Rocky Mountain Masters Games,1/1/04
Colorado Senior Games,1/1/04
"Boulder Road Runners All Comers Track Meet - June 3, 2004",6/3/04
"Boulder Road Runners All Comers Track Meet - June 17, 2004",6/17/04
"Boulder Road Runners All Comers Track Meet - July 1, 2004",7/1/04
"Boulder Road Runners All Comers Track Meet - July 15, 2004",7/15/04
"Boulder Road Runners All Comers Track Meet - August 5, 2004",8/5/04
"Boulder Road Runners All Comers Track Meet - August 19, 2004",8/19/04
Colorado Senior Games,1/1/05
2005 Rocky Mountain Masters Games,1/1/05
"Boulder Road Runners All Comers Track Meet - June 2, 2005",6/2/05
"Boulder Road Runners All Comers Track Meet - June 16, 2004",6/16/05
"Boulder Road Runners All Comers Track Meet - July 7, 2005",7/7/05
"Boulder Road Runners All Comers Track Meet - July 21, 2005",7/21/05
"Boulder Road Runners All Comers Track Meet - August 4, 2005",8/4/05
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/06
"Boulder Road Runners All Comers Track Meet - June 2, 2005",6/1/06
"Boulder Road Runners All Comers Track Meet - June 16, 2004",6/15/06
"Boulder Road Runners All Comers Track Meet - July 6, 2006",7/6/06
"Boulder Road Runners All Comers Track Meet - July 20, 2006",7/20/06
"Boulder Road Runners All Comers Track Meet - August 3, 2006",8/3/06
"Boulder Road Runners All Comers Track Meet - August 19, 2006",8/19/06
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/07
"USATF Mid American Record set at event in Ft. Collins, CO",1/1/07
2007 Rocky Mountain Masters Games,1/1/07
"Boulder Road Runners All Comers Track Meet - June 2, 2005",5/23/07
"Boulder Road Runners All Comers Track Meet - June 7, 2005",6/7/07
"Boulder Road Runners All Comers Track Meet - June 16, 2004",6/21/07
"Boulder Road Runners All Comers Track Meet - July 5, 2007",7/5/07
"Boulder Road Runners All Comers Track Meet - July 19, 2007",7/19/07
"Boulder Road Runners All Comers Track Meet - August2, 2007",8/2/07
"Boulder Road Runners All Comers Track Meet - August 18, 2007",8/18/07
2008 Rocky Mountain Masters Games,1/1/08
Colorado Senior Games,1/1/08
"Boulder Road Runners All Comers Track Meet - June 5, 2008",6/5/08
"Boulder Road Runners All Comers Track Meet - June 18, 2008",6/18/08
"Boulder Road Runners All Comers Track Meet - July 3, 2008",7/3/08
"Boulder Road Runners All Comers Track Meet - July 17, 2008",7/17/08
"Boulder Road Runners All Comers Track Meet - August 7, 2008",8/7/08
"Boulder Road Runners All Comers Track Meet - August 21, 2008",8/21/08
Colorado Senior Games,1/1/09
2009 Rocky Mountain Masters Games,1/1/09
"Boulder Road Runners All Comers Track Meet - June 4, 2009",6/4/09
"Boulder Road Runners All Comers Track Meet - June 18, 2009",6/18/09
"Boulder Road Runners All Comers Track Meet - July 2, 2009",7/2/09
"Boulder Road Runners All Comers Track Meet - July 16, 2009",7/16/09
"Boulder Road Runners All Comers Track Meet - August 6, 2009",8/6/09
"Boulder Road Runners All Comers Track Meet - August 20, 2009",8/20/09
2010 Rocky Mountain Masters Games,1/1/10
Colorado Senior Games,1/1/10
"Boulder Road Runners All Comers Track Meet - June 3, 2010",6/3/10
"Boulder Road Runners All Comers Track Meet - June 17, 2010",6/17/10
"Boulder Road Runners All Comers Track Meet - July 1, 2010",7/1/10
"Boulder Road Runners All Comers Track Meet - July 15, 2010",7/15/10
"Boulder Road Runners All Comers Track Meet - August 5, 2010",8/5/10
"Boulder Road Runners All Comers Track Meet - August 19, 2010",8/19/10
"USATF Mid American Record set at event in Ft. Collins, CO",1/1/11
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/11
Colorado Senior Games,1/1/11
2011 Rocky Mountain Masters Games,1/1/11
"Boulder Road Runners All Comers Track Meet - June 2, 2011",6/2/11
"Boulder Road Runners All Comers Track Meet - June 16, 2011",6/16/11
"Boulder Road Runners All Comers Track Meet - July 21, 2011",7/21/11
"Boulder Road Runners All Comers Track Meet - August 4, 2011",8/4/11
"Boulder Road Runners All Comers Track Meet - August 18, 2011",8/18/11
2012 Rocky Mountain Masters Games,1/1/12
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/12
"USATF Mid American Record set at event in Ft. Collins, CO",1/1/12
Colorado Senior Games,1/1/12
"Boulder Road Runners All Comers Track Meet - June 7, 2012",6/7/12
"Boulder Road Runners All Comers Track Meet - June 21, 2012",6/21/12
"Boulder Road Runners All Comers Track Meet - July 5, 2012",7/5/12
"Boulder Road Runners All Comers Track Meet - July 19, 2012",7/19/12
"Boulder Road Runners All Comers Track Meet - August 2, 2012",8/2/12
"Boulder Road Runners All Comers Track Meet - August 16, 2012",8/16/12
2013 Rocky Mountain Masters Games,1/1/13
Colorado Senior Games,1/1/13
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/13
"Boulder Road Runners All Comers Track Meet - June 6, 2013",6/6/13
"Boulder Road Runners All Comers Track Meet - June 20, 2013",6/20/13
"Boulder Road Runners All Comers Track Meet - July 4, 2013",7/4/13
"Boulder Road Runners All Comers Track Meet - July 18, 2013",7/18/13
"Boulder Road Runners All Comers Track Meet - August 1, 2013",8/1/13
"Boulder Road Runners All Comers Track Meet - August 15, 2013",8/15/13
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/14
"USATF Mid American Record set at event in Ft. Collins, CO",1/1/14
2014 Rocky Mountain Masters Games,1/1/14
"Boulder Road Runners All Comers Track Meet - June 5, 2014",6/5/14
"Boulder Road Runners All Comers Track Meet - June 19, 2014",6/19/14
"Boulder Road Runners All Comers Track Meet - July 3, 2014",7/3/14
"Boulder Road Runners All Comers Track Meet - July 17, 2014",7/17/14
"Boulder Road Runners All Comers Track Meet - August 7, 2014",8/7/14
"Boulder Road Runners All Comers Track Meet - August 21, 2014",8/21/14
2015 Rocky Mountain Masters Games,1/1/15
"USATF Mid American Record set at event in Ft. Collins, CO",1/1/15
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/15
Colorado Senior Games,1/1/16
2016 Rocky Mountain Masters Games,1/1/16
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/16
2017 Rocky Mountain Masters Games,1/1/17
"USATF Mid American Record set at event in Pueblo, Colorado",1/1/17
St Vrain Invitational,5/12/17
Boulder Road Runners All Comers Track Meet,6/1/17
Boulder Road Runners All Comers Track Meet,6/15/17
2017 Mack Track,7/15/17
Boulder Road Runners All Comers Track Meet,7/20/17
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/18
2018 Rocky Mountain Masters Games,1/1/18
2018 Mack Track,5/26/18
2018 Nite Moves,6/3/18
2018 Striders,6/30/18
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/19
2019 Rocky Mountain Masters Games,1/1/19
St Vrain Invitational,5/11/19
2019 Nite Moves All Comers,5/25/19
2019 Mack Track,6/3/19
Boulder Road Runners All Comers Track & Field Meet,6/6/19
Boulder Road Runners All Comers Track & Field Meet,6/20/19
Boulder Road Runners All Comers Track Meet,6/20/19
Boulder Road Runners All Comers Track & Field Meet,7/18/19
Boulder Road Runners All Comers Track & Field Meet,8/1/19
Team Boss Mile,6/27/20
"USATF Mid American Record set at event in Ft. Collins, CO",1/1/21
"USATF Mid American Record set at event in Ft. Collins, Colorado",1/1/21
USATF Colorado All-Comers Meet #2,6/6/21
Boulder Road Runners All Comers Track & Field Meet,6/10/21
USATF Colorado All-Comers Meet #3,6/13/21
Boulder Road Runners All Comers Track & Field Meet,6/17/21
2021 Colorado Springs Striders,6/20/21
Boulder Road Runners All Comers Track & Field Meet,7/15/21
2021 Nite Moves,7/17/21
Boulder Road Runners All Comers Track & Field Meet,8/5/21
Boulder Road Runners All Comers Track & Field Meet,8/19/21
Boulder Road Runners All Comers Track & Field Meet,6/2/22
USATF All Comers Number 1,6/4/22
Colorado Springs Striders Invitational,6/11/22
Boulder Road Runners All Comers Track & Field Meet,6/16/22
NOCO All-Comers,6/23/22
USATF All Comers Number 2,6/25/22
2022 USATF Colorado Summer Classic,7/16/22
Boulder Road Runners All Comers Track & Field Meet,7/7/22
NOCO All-Comers,7/14/22
Boulder Road Runners All Comers Track & Field Meet,7/21/22
Boulder Road Runners All Comers Track & Field Meet,8/4/22
MHM Age Graded Results,8/13/22
2022 Mid-America Region Masters Outdoor Championships,8/17/22
Boulder Road Runners All Comers Track & Field Meet,8/18/22
Western Colorado Senior Games,1/1/23
Denver Athletics All Comers Number 1,3/25/23
Denver Athletics May All Comers,5/27/23
Boulder Road Runners All Comers Track & Field Meet,6/1/23
NOCO All-Comers,6/8/23
2023 Front Range Classic,6/10/23
NOCO All-Comers,6/15/23
Boulder Road Runners All Comers Track & Field Meet,6/15/23
Colorado Springs Striders Invitational,6/17/23
NOCO All-Comers,6/18/23
NOCO All-Comers,6/19/23
NOCO All-Comers,6/20/23
NOCO All-Comers,6/21/23
NOCO All-Comers,6/22/23
Tracksmith Twilight 5000 - Race 1,6/29/23
NOCO All Comers,6/29/23
2023 Denver Twilight Series - The Premiere,6/30/23
2023 Rocky Mountain State Games,7/1/23
Boulder Road Runners All Comers Track & Field Meet,7/6/23
Boulder Road Runners All Comers Track & Field Meet,7/20/23
NOCO All-Comers,7/27/23
2023 Mile High Mile,7/29/23
NOCO All Comers Meet #5,8/1/23
2023 Denver Twilight Series - The Finale,8/4/23
Tracksmith Twilight 5000 - Race 2,8/10/23
2023 Denver Twilight Series - The Finale,8/11/23
